ID;FECHA DE ENTREGA;COORD_Y;COORD_X;DIRECCIÓN;BARRIO;LOCALIDAD;ESTADO ACTUAL;ACCIONES REALIZADAS;TIPO DE RESIDUO;FRECUENCIA DE LIMPIEZA;AREA RECUPERADA (m2);POBLACION IMPACTADA;TONELADAS DE CO2 EQUIVALENTE
PC001;ND;10.96769965;-74.77509000;Cra 30 Con Calle 17;Rebolo;Suroriente;Recuperado;Mejoramiento De La Infraestrctura;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;252;1194;1049
PC011;ND;10.99074014;-74.80059454;Carrera 45 Con Calle 66;Boston;Norte Centro Histórico;Recuperado;Recuperacion;Ordinarios, Escombros, Poda De Arboles Y Voluminosos;Interdiaria;227.5;304;562
PC003;ND;10.98255360;-74.77682303;Carrera 44 Con Calle 32;Centro;Norte Centro Histórico;Recuperado;Recuperacion;Ordinarios Y Voluminosos;Diaria;145;5350;674
PC018;ND;10.98325225;-74.80202073;Calle 65 Con Cra 38;El Recreo;Norte Centro Histórico;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;775.6;274;907
PC009;ND;10.97970655;-74.79047534;Carrera 37 Con Calle 50;Chiquinquirá;Suroriente;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;290;350;1573
PC082;ND;10.94789789;-74.79981898;Calle 45 Con Cra 8c;La Arboraya;Suroriente;Recuperado;Limpieza Y Embellecimiento;Ordinarios, Podas, Escombros Y Voluminosos;Diaria ;61.58;300;1123
PC057;ND;10.94286769;-74.79983613;Calle 45 Con Cra 7c;Buenos Aires;Metropolitana;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Unisemanal;900;381;75
PC025;ND;10.98432491;-74.77440022;Calle 10 Con Cra 45;Villanueva;Norte Centro Histórico;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;2940;500;4194
PC047;ND;10.93489515;-74.82902289;Calle 98c #2sur;Villa San Carlos;Metropolitana;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;10257;2200;174
PC023;ND;10.95755244;-74.80492763;Calle 56 Con Cra 13;La Sierra;Metropolitana;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;64;1348;1123
PC041;ND;10.95952662;-74.79408079;Calle 45 # 19 - 136;San José;Suroriente;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;252;1367;84
PC030;ND;10.96565870;-74.79022734;Calle 42 Con Cra 24;Alfonso López;Suroccidente;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;131;599;1459
PC079;ND;10.96672399;-74.78876661;Calle 41 Con Cra 25;Montes;Suroriente;Recuperado;Mejoramiento De La Infraestrctura;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;56;356;31
PC081;ND;10.92670179;-74.80597006;Calle 47b Con Carrera 8a Sur;Ciudadela 20 De Julio;Metropolitana;Recuperado;Limpieza Y Embellecimiento;Ordinarios, Podas Y Voluminosos;Interdiaria;9.12;820;1798
PC083;ND;10.97242113;-74.78924797;Calle 45 Con Cra 30;Chiquinquirá;Suroriente;Recuperado;Limpieza Y Embellecimiento;Ordinarios;Interdiaria;137.5;341;210
PC035;ND;10.95377562;-74.77448069;Carrera 15 Con Calle 17;Las Nieves;Suroriente;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Unisemanal;117;593;524
PC037;ND;10.95560420;-74.80478444;Calle 54 Con Cra 11;La Sierra;Suroriente;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;284;571;1236
PC040;ND;11.00851585;-74.79272977;Carrera 72 Con Calle 74 Hasta La 72;La Concepción;Norte Centro Histórico;Recuperado;Recuperacion;Ordinarios, Podas, Escombros Y Voluminosos;Interdiaria;900;1772;793
PC084;ND;10.96549209;-74.82488873;Calle 84b Con Carrera 13;La Esmeralda;Suroccidente;Recuperado;Recuperacion;Ordinarios;Unisemanal;100;356;112
